Day;Hour;Minute;InverterPVActualActivePower;ActivePowerAbsorbedFromGrid;InverterConsumerActivePowerLoad
01;00;00;0;0;0
01;00;15;0;80;0
01;00;30;0;69;12
01;00;45;0;95;0
01;01;00;0;97;420
01;01;15;0;80;0
01;01;30;0;63;0
01;01;45;0;122;670
01;02;00;0;65;0
01;02;15;0;109;309
01;02;30;0;95;339
01;02;45;0;80;0
01;03;00;0;105;631
01;03;15;0;80;10
01;03;30;0;99;621
01;03;45;0;85;0
01;04;00;0;107;539
01;04;15;0;94;51
01;04;30;0;95;428
01;04;45;0;119;926
01;05;00;0;121;965
01;05;15;0;100;540
01;05;30;0;104;580
01;05;45;0;117;631
01;06;00;0;109;438
01;06;15;0;105;771
01;06;30;0;94;261
01;06;45;0;121;954
01;07;00;0;90;154
01;07;15;0;110;666
01;07;30;0;116;455
01;07;45;0;85;220
01;08;00;0;129;955
01;08;15;0;80;46
01;08;30;0;110;674
01;08;45;0;96;285
01;09;00;31;95;176
01;09;15;28;128;865
01;09;30;62;76;0
01;09;45;74;111;594
01;10;00;86;85;100
01;10;15;123;104;476
01;10;30;131;95;544
01;10;45;141;95;14
01;11;00;170;104;567
01;11;15;199;97;64
01;11;30;180;64;10
01;11;45;160;116;630
01;12;00;191;94;511
01;12;15;223;81;14
01;12;30;301;119;925
01;12;45;340;94;10
01;13;00;490;85;280
01;13;15;765;107;400
01;13;30;657;74;9
01;13;45;683;110;402
01;14;00;656;110;239
01;14;15;440;155;680
01;14;30;285;280;576
01;14;45;154;470;154
01;15;00;106;125;401
01;15;15;80;91;379
01;15;30;64;109;259
01;15;45;45;110;280
01;16;00;30;179;771
01;16;15;15;160;0
01;16;30;0;241;835
01;16;45;0;190;466
01;17;00;0;205;539
01;17;15;0;270;640
01;17;30;0;280;185
01;17;45;0;266;386
01;18;00;0;279;638
01;18;15;0;265;306
01;18;30;0;254;216
01;18;45;0;287;779
01;19;00;0;250;250
01;19;15;0;269;80
01;19;30;0;265;721
01;19;45;0;230;0
01;20;00;0;185;659
01;20;15;0;325;380
01;20;30;0;131;10
01;20;45;0;209;599
01;21;00;0;184;121
01;21;15;0;241;520
01;21;30;0;230;500
01;21;45;0;194;0
01;22;00;0;165;319
01;22;15;0;197;621
01;22;30;0;138;4
01;22;45;0;131;16
01;23;00;0;130;930
01;23;15;0;96;331
01;23;30;0;85;9.999999999
01;23;45;0;95;0
02;00;00;0;85;0
02;00;15;0;75;9
02;00;30;0;85;0
02;00;45;0;94;311
02;01;00;0;85;0
02;01;15;0;110;410
02;01;30;0;99;29
02;01;45;0;107;539
02;02;00;0;95;61
02;02;15;0;94;391
02;02;30;0;105;309
02;02;45;0;85;101
02;03;00;0;111;189
02;03;15;0;100;381
02;03;30;0;90;10
02;03;45;0;104;539
02;04;00;0;109;309
02;04;15;0;91;220
02;04;30;0;90;71
02;04;45;0;140;880
02;05;00;0;116;530
02;05;15;0;124;860
02;05;30;0;104;520
02;05;45;0;126;810
02;06;00;0;110;690
02;06;15;0;131;635
02;06;30;0;149;465
02;06;45;0;135;350
02;07;00;0;240;910
02;07;15;0;226;940
02;07;30;0;170;659
02;07;45;0;194;11
02;08;00;0;195;870
02;08;15;0;125;186
02;08;30;0;80;164
02;08;45;0;105;340
02;09;00;31;90;360
02;09;15;40;106;489
02;09;30;64;105;540
02;09;45;90;119;421
02;10;00;115;90;340
02;10;15;86;111;560
02;10;30;94;90;341
02;10;45;115;90;224
02;11;00;141;119;776
02;11;15;150;85;0
02;11;30;94;111;439
02;11;45;86;95;375
02;12;00;199;90;64
02;12;15;189;70;0
02;12;30;151;95;0
02;12;45;240;155;9.999999999
02;13;00;410;119;490
02;13;15;371;90;67
02;13;30;180;104;414
02;13;45;170;102;635
02;14;00;250;104;349
02;14;15;219;85;246
02;14;30;160;105;254
02;14;45;94;116;657
02;15;00;50;84;4
02;15;15;32;110;755
02;15;30;7.000000001;100;330
02;15;45;0;95;470
02;16;00;0;105;275
02;16;15;0;111;615
02;16;30;0;119;570
02;16;45;0;99;225
02;17;00;0;117;705
02;17;15;0;84;295
02;17;30;0;90;64
02;17;45;0;80;0
02;18;00;0;90;0
02;18;15;0;80;12
02;18;30;0;115;789
02;18;45;0;126;960
02;19;00;0;80;81
02;19;15;0;199;534
02;19;30;0;221;704
02;19;45;0;199;27
02;20;00;0;410;914
02;20;15;0;200;71
02;20;30;0;159;9.999999999
02;20;45;0;182;404
02;21;00;0;148;16
02;21;15;0;151;9
02;21;30;0;121;15
02;21;45;0;134;296
02;22;00;0;105;0
02;22;15;0;150;340
02;22;30;0;135;334
02;22;45;0;160;506
02;23;00;0;105;334
02;23;15;0;90;54
02;23;30;0;80;151
02;23;45;0;80;9
03;00;00;0;75;0
