Day;Hour;Minute;InverterPVActualActivePower;ActivePowerAbsorbedFromGrid;InverterConsumerActivePowerLoad;ActivePowerInjectedToGrid
01;00;00;0;0;0;0
01;00;15;0;105;21;0
01;00;30;0;95;20;0
01;00;45;0;100;20;0
01;01;00;0;80;22;0
01;01;15;0;85;15;0
01;01;30;0;85;7;0
01;01;45;0;60;8;0
01;02;00;0;55;7;0
01;02;15;0;60;8;0
01;02;30;0;50;8;0
01;02;45;0;55;7;0
01;03;00;0;55;7;0
01;03;15;0;50;10;0
01;03;30;0;240;6;0
01;03;45;0;140;9;0
01;04;00;0;105;20;0
01;04;15;0;130;22;0
01;04;30;0;110;20;0
01;04;45;0;85;20;0
01;05;00;0;90;22;0
01;05;15;0;80;20;0
01;05;30;0;95;20;0
01;05;45;0;100;21;0
01;06;00;0;85;20;0
01;06;15;0;95;21;0
01;06;30;0;95;17;0
01;06;45;0;70;7;0
01;07;00;0;85;8;0
01;07;15;0;80;8;0
01;07;30;0;75;7;0
01;07;45;0;90;9;0
01;08;00;0;75;6;0
01;08;15;0;75;9;0
01;08;30;0;85;8;0
01;08;45;0;65;7;0
01;09;00;9.999999998;65;8;0
01;09;15;31;175;8;0
01;09;30;39;85;21;0
01;09;45;45;85;21;0
01;10;00;70;50;19;0
01;10;15;96;0;22;0
01;10;30;114;30;42;10
01;10;45;130;60;46;0
01;11;00;140;20;34;10
01;11;15;150;30;55;10
01;11;30;170;195;25;10
01;11;45;185;195;40;5
01;12;00;175;9.999999999;14;5
01;12;15;170;0;11;10
01;12;30;225;335;11;0
01;12;45;236;10;12;10
01;13;00;279;110;11;0
01;13;15;511;445;15;10
01;13;30;489;30;25;0
01;13;45;670;20;22;0
01;14;00;546;75;21;0
01;14;15;769;95;21;0
01;14;30;665;105;21;0
01;14;45;821;235;37;0
01;15;00;644;175;41;0
01;15;15;365;185;23;0
01;15;30;95;220;28;0
01;15;45;57;255;23;0
01;16;00;23;225;25;0
01;16;15;0;240;24;0
01;16;30;0;590;23;0
01;16;45;0;640;25;0
01;17;00;0;650;22;0
01;17;15;0;325;19;0
01;17;30;0;200;21;0
01;17;45;0;215;20;0
01;18;00;0;205;20;0
01;18;15;0;235;19;0
01;18;30;0;180;10;0
01;18;45;0;160;9;0
01;19;00;0;400;13;0
01;19;15;0;320;21;0
01;19;30;0;330;22;0
01;19;45;0;340;19;0
01;20;00;0;320;23;0
01;20;15;0;315;20;0
01;20;30;0;335;20;0
01;20;45;0;330;22;0
01;21;00;0;290;21;0
01;21;15;0;275;21;0
01;21;30;0;235;20;0
01;21;45;0;235;17;0
01;22;00;0;230;8;0
01;22;15;0;250;7;0
01;22;30;0;325;15;0
01;22;45;0;290;21;0
01;23;00;0;270;22;0
01;23;15;0;265;21;0
01;23;30;0;240;21;0
01;23;45;0;195;21;0
02;00;00;0;205;22;0
02;00;15;0;170;22;0
02;00;30;0;185;21;0
02;00;45;0;170;23;0
02;01;00;0;155;15;0
02;01;15;0;135;8;0
02;01;30;0;100;8;0
02;01;45;0;45;7;0
02;02;00;0;170;9;0
02;02;15;0;95;19;0
02;02;30;0;105;21;0
02;02;45;0;115;22;0
02;03;00;0;70;21;0
02;03;15;0;60;20;0
02;03;30;0;70;22;0
02;03;45;0;60;22;0
02;04;00;0;65;20;0
02;04;15;0;85;21;0
02;04;30;0;70;22;0
02;04;45;0;80;14;0
02;05;00;0;65;9;0
02;05;15;0;55;8;0
02;05;30;0;75;7;0
02;05;45;0;170;9;0
02;06;00;0;110;20;0
02;06;15;0;140;21;0
02;06;30;0;110;21;0
02;06;45;0;80;21;0
02;07;00;0;85;20;0
02;07;15;0;70;20;0
02;07;30;0;85;20;0
02;07;45;0;80;22;0
02;08;00;0;120;40;0
02;08;15;0;190;39;0
02;08;30;0;230;18;0
02;08;45;0;220;12;0
02;09;00;0;155;37;0
02;09;15;9.999999998;155;22;0
02;09;30;36;130;49;0
02;09;45;54;130;23;0
02;10;00;75;45;40;0
02;10;15;80;30;25;0
02;10;30;90;40;23;0
02;10;45;65;30;25;0
02;11;00;71;40;24;0
02;11;15;114;20;26;10
02;11;30;121;20;21;0
02;11;45;85;100;33;0
02;12;00;149;35;17;10
02;12;15;260;290;7;20
02;12;30;300;325;9;20
02;12;45;666;0;7;50
02;13;00;1224;0;8;150
02;13;15;1206;20;57;30
02;13;30;349;9.999999999;32;15
02;13;45;390;20;11;15
02;14;00;325;10;23;10
02;14;15;206;5;24;0
02;14;30;129;5;25;10
02;14;45;100;9.999999999;24;0
02;15;00;46;10;25;10
02;15;15;19;95;24;0
02;15;30;0;130;22;0
02;15;45;0;130;21;0
02;16;00;0;140;21;0
02;16;15;0;140;20;0
02;16;30;0;220;12;0
02;16;45;0;185;20;0
02;17;00;0;175;22;0
02;17;15;0;170;20;0
02;17;30;0;180;37;0
02;17;45;0;130;21;0
02;18;00;0;140;21;0
02;18;15;0;170;21;0
02;18;30;0;130;20;0
02;18;45;0;150;20;0
02;19;00;0;190;22;0
02;19;15;0;200;20;0
02;19;30;0;335;53;0
02;19;45;0;355;8;0
02;20;00;0;255;19;0
02;20;15;0;260;21;0
02;20;30;0;265;21;0
02;20;45;0;270;20;0
02;21;00;0;230;23;0
02;21;15;0;210;20;0
02;21;30;0;210;21;0
02;21;45;0;225;21;0
02;22;00;0;205;21;0
02;22;15;0;180;22;0
02;22;30;0;190;20;0
02;22;45;0;160;21;0
02;23;00;0;160;13;0
02;23;15;0;160;6;0
02;23;30;0;140;9;0
02;23;45;0;140;7;0
03;00;00;0;160;7;0
03;00;15;0;140;9;0
03;00;30;0;130;6;0
03;00;45;0;130;8;0
03;01;00;0;230;9;0
03;01;15;0;190;18;0
03;01;30;0;190;21;0
03;01;45;0;220;39;0
03;02;00;0;150;22;0
03;02;15;0;130;20;0
03;02;30;0;130;20;0
03;02;45;0;135;23;0
03;03;00;0;125;19;0
03;03;15;0;90;21;0
03;03;30;0;75;21;0
03;03;45;0;70;20;0
03;04;00;0;60;10;0
03;04;15;0;50;7;0
03;04;30;0;40;8;0
03;04;45;0;55;6;0
03;05;00;0;45;9;0
03;05;15;0;40;7;0
03;05;30;0;60;7;0
03;05;45;0;40;8;0
03;06;00;0;160;8;0
03;06;15;0;105;18;0
03;06;30;0;105;21;0
03;06;45;0;100;19;0
03;07;00;0;75;21;0
03;07;15;0;55;22;0
03;07;30;0;65;19;0
03;07;45;0;65;21;0
03;08;00;0;100;27;0
03;08;15;0;150;37;0
03;08;30;0;310;41;0
03;08;45;0;110;19;0
03;09;00;0;205;13;0
03;09;15;0;130;25;0
03;09;30;0;180;54;0
03;09;45;0;150;38;0
03;10;00;0;100;23;0
03;10;15;0;90;24;0
03;10;30;0;100;24;0
03;10;45;0;85;23;0
03;11;00;0;95;24;0
03;11;15;0;230;37;0
03;11;30;0;120;26;0
03;11;45;0;435;21;0
03;12;00;0;710;12;0
03;12;15;9.999999998;375;11;0
03;12;30;10;140;10;0
03;12;45;0;120;12;0
03;13;00;9;130;12;0
03;13;15;27;135;7;0
03;13;30;70;125;8;0
03;13;45;80;275;24;0
03;14;00;85;195;25;0
03;14;15;80;170;27;0
03;14;30;90;255;43;0
03;14;45;80;180;28;0
03;15;00;95;185;23;0
03;15;15;85;135;25;0
03;15;30;64;115;25;0
03;15;45;50;120;22;0
03;16;00;24;130;26;0
03;16;15;0;110;23;0
03;16;30;0;110;23;0
03;16;45;0;130;16;0
03;17;00;0;310;6;0
03;17;15;0;710;107;0
03;17;30;0;430;131;0
03;17;45;0;280;81;0
03;18;00;0;315;67;0
03;18;15;0;275;39;0
03;18;30;0;250;47;0
03;18;45;0;250;48;0
03;19;00;0;275;42;0
03;19;15;0;270;35;0
03;19;30;0;270;27;0
03;19;45;0;240;24;0
03;20;00;0;240;21;0
03;20;15;0;265;12;0
03;20;30;0;140;8;0
03;20;45;0;140;7;0
03;21;00;0;130;8;0
03;21;15;0;220;8;0
03;21;30;0;180;19;0
03;21;45;0;175;21;0
03;22;00;0;155;21;0
03;22;15;0;170;36;0
03;22;30;0;135;33;0
03;22;45;0;115;22;0
03;23;00;0;125;21;0
03;23;15;0;110;22;0
03;23;30;0;120;20;0
03;23;45;0;120;23;0
04;00;00;0;110;19;0
04;00;15;0;125;7;0
04;00;30;0;140;8;0
04;00;45;0;130;8;0
04;01;00;0;140;7;0
04;01;15;0;255;9;0
04;01;30;0;205;20;0
04;01;45;0;220;22;0
04;02;00;0;200;21;0
04;02;15;0;160;20;0
04;02;30;0;130;21;0
04;02;45;0;95;21;0
04;03;00;0;95;20;0
04;03;15;0;105;21;0
04;03;30;0;85;21;0
04;03;45;0;90;20;0
